Pais,Puntos_FIFA,Valor_Mercado_M_Eur,Pct_Victorias,Goles_Favor,Goles_Contra,Jugadores_Ligas_Top
Argentina,1876,807.5,72.2,31,9,21
Brasil,1758,928.2,44.4,28,15,23
Colombia,1615,302.35,50.0,21,11,15
Ecuador,1542,368.7,55.5,20,12,9
Paraguay,1462,153.65,44.4,15,13,6
Uruguay,1598,359.3,50.0,30,13,14
Alemania,1654,947.0,83.3,35,6,26
Austria,1536,245.2,54.5,21,12,18
Belgica,1662,547.5,60.0,22,7,20
Bosnia y Herzegovina,1355,146.4,38.4,17,18,5
Croacia,1642,387.3,40.0,15,15,18
Chequia,1470,188.18,41.6,16,13,8
Escocia,1472,170.25,40.0,14,16,10
Espana,1874,1220.0,91.6,38,4,25
Francia,1870,1520.0,86.1,29,4,26
Inglaterra,1827,1360.0,80.5,28,5,26
Noruega,1465,589.9,63.6,26,11,20
Paises Bajos,1673,754.2,60.0,24,8,22
Portugal,1766,1010.0,88.8,31,3,24
Suecia,1519,406.08,50.0,23,13,11
Suiza,1567,332.5,41.6,18,12,19
Turkiye,1545,473.7,54.5,19,12,11
Canada,1506,198.65,0.0,0,0,7
Curazao,1278,25.78,50.0,10,11,1
Estados Unidos,1592,385.65,0.0,0,0,13
Haiti,1294,55.9,50.0,12,9,2
Mexico,1611,191.85,0.0,0,0,4
Panama,1418,34.55,66.6,13,8,1
Arabia Saudita,1412,40.68,50.0,14,17,0
Australia,1451,77.45,64.2,32,8,2
Corea del Sur,1528,139.05,70.0,19,10,3
Iran,1561,32.05,70.0,21,9,0
Irak,1405,21.2,35.7,17,16,0
Japon,1581,270.85,86.6,42,5,14
Jordania,1341,20.3,30.0,12,13,0
Qatar,1315,19.93,20.0,11,19,0
Uzbekistan,1396,85.13,60.0,16,9,2
Argelia,1492,256.9,44.4,17,13,9
Cabo Verde,1328,54.5,33.3,9,13,1
Costa de Marfil,1468,522.1,55.5,25,9,17
Egipto,1488,116.48,74.0,22,8,3
Ghana,1431,234.35,33.3,10,12,8
Marruecos,1681,447.7,77.7,24,7,16
Republica Democratica del Congo,1374,143.9,36.3,13,12,5
Senegal,1604,478.1,66.6,18,10,19
Sudafrica,1382,49.25,33.3,12,13,0
Tunez,1442,69.95,33.3,11,13,1
Nueva Zelanda,1250,34.3,80.0,36,3,1
